legge	NOUN	legge
incommutabile	ADJ	incommutabile
a	PRE	a
tutte	DET:indef	tutto
le	ART	la
cose	NOUN	cosa
mondane	ADJ	mondano
aver	VER:infi	avere
fine	NOUN	fine
il	ART	il
mio	DET:poss	mio
amore	NOUN	amore
oltre	ADV	oltre
a	PRE	a
ogn	ADJ	<unknown>
'	PUN	'
altro	PRO:indef	altro
fervente	ADJ	fervente
e	CON	e
il	ART	il
quale	WH	quale
niuna	VER:fin	<unknown>
forza	NOUN	forza
di	PRE	di
proponimento	NOUN	proponimento
o	CON	o
di	PRE	di
consiglio	NOUN	consiglio
o	CON	o
di	PRE	di
vergogna	NOUN	vergogna
evidente	ADJ	evidente
o	CON	o
pericolo	NOUN	pericolo
che	CHE	che
seguir	VER:infi	seguire
ne	CLI	ne
potesse	VER2:fin	potere
aveva	AUX:fin	avere
potuto	VER:ppast	potere
né	NOUN	<unknown>
rompere	VER:infi	rompere
né	NOUN	<unknown>
piegare	VER:infi	piegare
per	PRE	per
se	PRO:pers	se
medesimo	PRO:demo	medesimo
in	PRE	in
processo	NOUN	processo
di	PRE	di
tempo	NOUN	tempo
si	CLI	si
diminuì	VER:fin	diminuire
in	PRE	in
guisa	NOUN	guisa
che	CHE	che
sol	ADJ	sol
di	PRE	di
sé	PRO:pers	sè
